obj,k,measure,test_number,ratio_TS,ratio_EB
max,5,"(2, 8)",1,1.9204447903913944,0.9831084233109592
max,5,"(2, 8)",2,1.9608190558546927,1.010067206068178
max,5,"(2, 8)",3,1.9020641005023893,0.9735091865541174
max,5,"(2, 8)",4,1.875968859343448,1.004588661145386
max,5,"(2, 8)",5,1.8854741694371504,0.9713336575485516
max,5,"(2, 8)",6,1.9331323896396524,0.9715324400625652
max,5,"(2, 8)",7,1.909339565425914,1.0143342080031394
max,5,"(2, 8)",8,1.831285162294264,0.9902452291864794
max,5,"(2, 8)",9,1.9014399802641904,0.9592585550248636
max,5,"(2, 8)",10,1.874047533921105,0.9858475930393285
max,5,"(2, 8)",11,1.9166482173522728,1.025389708274796
max,5,"(2, 8)",12,1.8925527913109792,0.9707927762544404
max,5,"(2, 8)",13,1.8575017923564423,0.9899223601531386
max,5,"(2, 8)",14,1.913654458069297,1.020496371213414
max,5,"(2, 8)",15,1.9322983352976528,1.0182920924317738
max,5,"(2, 8)",16,1.9014932539782403,1.0430070331805008
max,5,"(2, 8)",17,1.938469874118525,1.019413820724944
max,5,"(2, 8)",18,1.9534230276885625,1.0185937782170402
max,5,"(2, 8)",19,1.883725557224044,0.9950315604768812
max,5,"(2, 8)",20,1.8179044194044016,0.9876312447930944
max,5,"(2, 8)",21,1.834268216052464,0.94634045199953
max,5,"(2, 8)",22,1.8820240371624053,0.9791232108662652
max,5,"(2, 8)",23,1.958870936788932,1.010547101150703
max,5,"(2, 8)",24,1.9123519915901,1.035637224421846
max,5,"(2, 8)",25,1.898053634853952,1.0067181485933978
max,5,"(2, 8)",26,1.898108243593857,1.0336502803221712
max,5,"(2, 8)",27,1.851480269998758,1.015376749279742
max,5,"(2, 8)",28,1.845311443813617,1.0103777863372017
max,5,"(2, 8)",29,1.8751418621962457,0.9958461062099808
max,5,"(2, 8)",30,1.8777370681189165,0.9873191709954884
max,5,"(2, 8)",31,1.9654871190305927,0.973452551172972
max,5,"(2, 8)",32,1.9738305208209013,1.010152248521318
max,5,"(2, 8)",33,1.8920224486205224,1.0047651372727824
max,5,"(2, 8)",34,1.850601806230972,1.0317605329567343
max,5,"(2, 8)",35,1.9230050252795243,1.0520583133978203
max,5,"(2, 8)",36,1.9369352883119204,1.0292615710139754
max,5,"(2, 8)",37,1.881787316441318,0.981165233501346
max,5,"(2, 8)",38,1.829629716887258,1.0561697615937582
max,5,"(2, 8)",39,1.8033146479449225,0.9684072594503574
max,5,"(2, 8)",40,1.8597053989392205,0.995940514046558
max,5,"(2, 8)",41,1.888809789475934,0.9853953543433028
max,5,"(2, 8)",42,1.942746562172955,0.981140464087622
max,5,"(2, 8)",43,1.9302222383056564,1.0015844818938722
max,5,"(2, 8)",44,1.95757614951126,0.984763785774862
max,5,"(2, 8)",45,1.922108915142053,0.9782713400154996
max,5,"(2, 8)",46,1.880109924336636,0.998049306818086
max,5,"(2, 8)",47,1.8765220478108835,1.019732268229094
