obj,k,test_number,ratio_TS,ratio_EB
max,5,1,1.389749530250252,0.9182766479136034
max,5,2,1.2660472545939587,0.7718259674638569
max,5,3,1.3256954765403728,0.9500207163169924
max,5,4,1.3759360667640923,1.0166508633330356
max,5,5,1.4418510811966645,0.9403470691581294
max,5,6,1.3433195522654198,1.4045804118215122
max,5,7,1.3392505364856468,1.1351011991157636
max,5,8,1.3269233722815477,1.0652176174611427
max,5,9,1.4585925343031438,0.9561077076636728
max,5,10,1.2937221821283584,0.9994297550937078
max,5,11,1.4416380246858649,1.4624805176514788
max,5,12,1.3305951467673074,1.2375998026268953
max,5,13,1.317801386462267,1.3044300781770857
max,5,14,1.200418623817327,0.8686288224583392
max,5,15,1.24425476609959,0.9318945946127756
max,5,16,1.2894592344211948,1.1245945620254378
max,5,17,1.4197292487768831,0.9210835176416364
max,5,18,1.4180122793253789,1.1965771312254452
max,5,19,1.3787948067783458,1.2168773763119376
max,5,20,1.3463038014869133,1.1112391892771918
max,5,21,1.37974557215131,1.0449444127134908
max,5,22,1.3622267179625234,0.9904871557824004
max,5,23,1.3302980404986922,0.8568104375801452
max,5,24,1.311358134146851,1.1682939075578502
max,5,25,1.5040112959188103,1.1165985659810165
max,5,26,1.4368192006520537,1.1688008336368492
max,5,27,1.3982914988154191,0.9501301488410404
max,5,28,1.330636493059817,1.1108856251116532
max,5,29,1.363063642166002,1.1499689890466585
max,5,30,1.3826654514488608,1.0332609853138088
max,5,31,1.3772467280599472,1.0603624325838152
max,5,32,1.3042893963554671,1.0550550801046057
max,5,33,1.4518814462678724,1.1007216773744977
max,5,34,1.4314842454912524,1.4558718630404908
max,5,35,1.418498213244468,1.162514774017212
max,5,36,1.2171059278964624,0.9281276264280368
max,5,37,1.3651810607052066,0.8869975740514341
max,5,38,1.338923233730586,1.0017835126716896
max,5,39,1.2718664274013174,1.087227175984352
max,5,40,1.184597136950923,0.8676689335768824
max,5,41,1.3800029878518676,0.8831962368454424
max,5,42,1.3212256110588672,0.9594885053889292
max,5,43,1.1512019171539007,0.872963799235715
max,5,44,1.5033529651874746,1.0531737039119244
max,5,45,1.4232173687998326,1.1087295526792984
max,5,46,1.2962474867977,0.9909708121504516
max,5,47,1.364482320117035,1.0842952612388164
max,5,48,1.2750619809666088,0.9204953067839348
max,5,49,1.2986456262258816,1.0202274000175653
max,5,50,1.3727533258983966,1.0696427392630377
CES-2,5,1,1.2776226611906958,0.9119137382014972
CES-2,5,2,1.211922317249928,0.7819409348397086
CES-2,5,3,1.234090752599352,0.9309682290229812
CES-2,5,4,1.2861902382289885,1.027432037703088
CES-2,5,5,1.3040280350575042,0.9537774463755132
CES-2,5,6,1.2539653791655043,1.3594687819227915
CES-2,5,7,1.2636198821079403,1.132772872440577
CES-2,5,8,1.2433723032332422,1.078648485317734
CES-2,5,9,1.322493303785571,0.9548034959170396
CES-2,5,10,1.2327309029294844,1.016979351649329
CES-2,5,11,1.311361127739445,1.4060608510683772
CES-2,5,12,1.2482282472742838,1.2514303239487294
CES-2,5,13,1.2384469301399574,1.2856152626268045
CES-2,5,14,1.1679937477378957,0.898846554040995
CES-2,5,15,1.1995013742692504,0.9393098801415684
CES-2,5,16,1.2282281127416788,1.124909741083568
CES-2,5,17,1.296273491231681,0.901552079005691
CES-2,5,18,1.305610685964589,1.1861173410662185
CES-2,5,19,1.2750363119351646,1.1809914066142069
CES-2,5,20,1.2491212076604812,1.0844296571881116
CES-2,5,21,1.2913666785592146,1.077502306133767
CES-2,5,22,1.2669138282237908,1.0155936748715906
CES-2,5,23,1.2532396051306178,0.8887855865188826
CES-2,5,24,1.241283065257898,1.1774581729283575
CES-2,5,25,1.345099602802128,1.109937569579265
CES-2,5,26,1.3187770900856195,1.1332617359013597
CES-2,5,27,1.2931324364005297,0.9496515166355496
CES-2,5,28,1.2516511242907724,1.1030432833354222
CES-2,5,29,1.2734352951541728,1.1322858934776865
CES-2,5,30,1.2855170132585818,1.0531180335887935
CES-2,5,31,1.29237884960978,1.0480071717028323
CES-2,5,32,1.2365968116347954,1.0742639482240146
CES-2,5,33,1.3035429686560187,1.1160884879678918
CES-2,5,34,1.3102134612749248,1.393871801825695
CES-2,5,35,1.2956791379103936,1.1697299921151794
CES-2,5,36,1.1754897947032477,0.9284029979849144
CES-2,5,37,1.269420845143766,0.8846469545288236
CES-2,5,38,1.2576856750099674,1.0114783981593378
CES-2,5,39,1.216691645427943,1.0907906451298903
