obj,k,measure,test_number,ratio_TS,ratio_EB
max,5,view_day,1,1.376461458234739,0.9943515299461222
max,5,view_day,2,1.4088935598615682,0.9110656151185458
max,5,view_day,3,1.187062559074053,1.0156627034699397
max,5,view_day,4,1.216036754892508,1.129869073914427
max,5,view_day,5,1.3404739052297132,0.8344855552731435
max,5,view_day,6,1.280812372541626,0.9742138725762648
max,5,view_day,7,1.226710232211243,1.0342242969955164
max,5,view_day,8,1.2796828354917102,1.250855004098651
max,5,view_day,9,1.1915472240709422,1.0879516305921155
max,5,view_day,10,1.1374380459647062,1.0058781033276996
max,5,view_day,11,1.1003886269361434,1.045978525564874
max,5,view_day,12,1.2237531890056843,1.0058459081169355
max,5,view_day,13,1.256173987630722,1.1545071254362584
max,5,view_day,14,1.315377558987837,0.9510943290593348
max,5,view_day,15,1.2517991067561285,1.1237753566460202
max,5,view_day,16,1.2162213157990989,0.7839736690383994
max,5,view_day,17,1.2844285386448326,0.6840317008794735
max,5,view_day,18,1.192148134187421,1.1185938540857625
max,5,view_day,19,1.128696933627989,1.2658382421643577
max,5,view_day,20,1.17658377020866,1.277316902394446
max,5,view_day,21,1.270817092488851,0.9739830441741072
max,5,view_day,22,1.2770955671636015,1.037892642027346
max,5,view_day,23,1.1516501967034738,1.232389314942513
max,5,view_day,24,1.2877446418092782,0.927913172060088
max,5,view_day,25,1.3034496441313412,1.142197629935512
max,5,view_day,26,1.3165378703395203,1.2218436330514568
max,5,view_day,27,1.290045749081697,1.0014382255889118
max,5,view_day,28,1.2909987026665046,0.9572774645725594
max,5,view_day,29,1.3280509335983,0.8333161003516956
max,5,view_day,30,1.2318787289652129,1.0667079098446284
max,5,view_day,31,1.2576863560493736,1.1613979821018954
max,5,view_day,32,1.3070164508359776,1.2216700964234768
max,5,view_day,33,1.2978260434565867,1.0723410539443277
max,5,view_day,34,1.2451412056698306,1.0111472373041288
max,5,view_day,35,1.3009125667289578,0.913056775397436
max,5,view_day,36,1.2325807561381297,1.2508236053976394
max,5,view_day,37,1.1476985795824122,0.9396395867701391
max,5,view_day,38,1.250748876474996,0.997753098090906
max,5,view_day,39,1.3793836663354029,1.0659638558745237
max,5,view_day,40,1.2764671159599028,1.0946035183624636
max,5,view_day,41,1.272638780345408,1.0001751701725388
max,5,view_day,42,1.43781984333931,1.0802579189883692
max,5,view_day,43,1.272833994603248,1.0935628460082905
max,5,view_day,44,1.4615372826693391,0.9656638200332532
max,5,view_day,45,1.2424590580997552,1.1356537601811494
max,5,view_day,46,1.259060180276103,1.0207444648933066
max,5,view_day,47,1.2187558029598091,1.1757401704379664
max,5,view_day,48,1.2776855458183465,1.107809806777248
max,5,view_day,49,1.2315638910280482,0.9596280866463326
max,5,view_day,50,1.081887585164243,1.0179162194914568
CES-2,5,view_day,1,1.272317457639788,0.9909507418507404
CES-2,5,view_day,2,1.3046844382375646,0.92680914222351
CES-2,5,view_day,3,1.1597711116620617,1.0162817727130786
CES-2,5,view_day,4,1.172539652067251,1.1275684698729094
CES-2,5,view_day,5,1.2508806823819594,0.8415943636614451
CES-2,5,view_day,6,1.2231075368683462,0.9640840550426786
CES-2,5,view_day,7,1.1861776685710397,1.0313711657399227
CES-2,5,view_day,8,1.2089294529031205,1.219032140871502
CES-2,5,view_day,9,1.1574774465952504,1.080726822506327
CES-2,5,view_day,10,1.1231601336904096,0.9970432047063518
CES-2,5,view_day,11,1.0916332994408795,1.053768453926813
CES-2,5,view_day,12,1.1890851999699803,1.01266468754602
CES-2,5,view_day,13,1.207815148525513,1.1506447525954786
CES-2,5,view_day,14,1.2364328945214873,0.9434854233523912
CES-2,5,view_day,15,1.2023593963794208,1.1181347292664805
CES-2,5,view_day,16,1.1678493217009605,0.7917203717921081
CES-2,5,view_day,17,1.2349618904916837,0.7311802099571014
CES-2,5,view_day,18,1.1576134534404852,1.0983966550240063
CES-2,5,view_day,19,1.1062299472736723,1.2455430885792866
CES-2,5,view_day,20,1.1472439830484091,1.2474687583998103
CES-2,5,view_day,21,1.217992339424275,0.9667555127905572
CES-2,5,view_day,22,1.225033374125622,1.0369981425595782
CES-2,5,view_day,23,1.121044611667389,1.2222329370246956
CES-2,5,view_day,24,1.2319895532359002,0.9266906955638708
CES-2,5,view_day,25,1.2383512741038347,1.140329929744823
CES-2,5,view_day,26,1.2396291502254266,1.209775976166198
CES-2,5,view_day,27,1.2315245580556609,0.985079761418746
CES-2,5,view_day,28,1.23889051989411,0.9589743546018312
CES-2,5,view_day,29,1.2512950919192187,0.8444740126254537
CES-2,5,view_day,30,1.1913337408442737,1.068601012857601
CES-2,5,view_day,31,1.2018138095151416,1.141120259140718
CES-2,5,view_day,32,1.238954435125164,1.206231743396573
CES-2,5,view_day,33,1.266749220936479,1.074634314248775
CES-2,5,view_day,34,1.21029849704474,0.997267339637205
CES-2,5,view_day,35,1.2302396213536817,0.9296485234565276
CES-2,5,view_day,36,1.1912632201264248,1.2198085267050347
CES-2,5,view_day,37,1.115513781873861,0.9345477460736552
CES-2,5,view_day,38,1.2013315756418954,1.0049398074714635
CES-2,5,view_day,39,1.2833134050981312,1.0421118899880315
CES-2,5,view_day,40,1.2183795726435154,1.0753636571783645
CES-2,5,view_day,41,1.2153373668578238,0.9970875956847234
CES-2,5,view_day,42,1.292117060012336,1.048791483121406
CES-2,5,view_day,43,1.2158755964764814,1.071386355816345
CES-2,5,view_day,44,1.3270911474898976,0.9551217565693328
CES-2,5,view_day,45,1.199894934424313,1.1313110146273702
CES-2,5,view_day,46,1.2061961278757347,1.0176503391608105
CES-2,5,view_day,47,1.1720561131708789,1.1582569101032187
CES-2,5,view_day,48,1.214514654144074,1.106157257834059
CES-2,5,view_day,49,1.176537396505738,0.9573016160769482
CES-2,5,view_day,50,1.074600261561434,1.0160374139166304
square_root,5,view_day,1,1.4095982517391976,1.000519010214742
square_root,5,view_day,2,1.440093622307618,0.9750009322752318
square_root,5,view_day,3,1.368578548315517,0.979639523814408
square_root,5,view_day,4,1.3611831722046466,1.0508514314461332
square_root,5,view_day,5,1.4167388314259364,0.9432711513323424
square_root,5,view_day,6,1.4133233978272517,0.9831501431778038
square_root,5,view_day,7,1.3615760359270277,0.9997912279594504
square_root,5,view_day,8,1.3808959621514525,1.052115953157185
square_root,5,view_day,9,1.3817723621597298,1.052823021705059
square_root,5,view_day,10,1.3561383376769054,0.9672087597236462
square_root,5,view_day,11,1.2959201186029077,1.013160907847194
square_root,5,view_day,12,1.4035145122516115,0.9867426824422176
square_root,5,view_day,13,1.3787026716787314,1.0592612319834551
square_root,5,view_day,14,1.4049890544815091,0.9754362324148418
square_root,5,view_day,15,1.3876220410698883,1.0395230512757734
square_root,5,view_day,16,1.3657610946581067,0.9037503517065534
square_root,5,view_day,17,1.4031446362447566,0.9123651817046292
square_root,5,view_day,18,1.3578132297619163,1.0015717077657853
square_root,5,view_day,19,1.327624059349735,1.080535444132517
square_root,5,view_day,20,1.3650830145154838,1.0866002485477737
square_root,5,view_day,21,1.410611627162615,0.982908530286161
square_root,5,view_day,22,1.4151539802033246,1.0131143459354102
square_root,5,view_day,23,1.327544337188216,1.0997509939796084
square_root,5,view_day,24,1.4353054141243673,0.9902483154205104
square_root,5,view_day,25,1.4115526565930174,1.040028417833817
square_root,5,view_day,26,1.4002602907658503,1.0664934347274806
square_root,5,view_day,27,1.4226367547072458,0.956407707866343
square_root,5,view_day,28,1.422068853355117,0.9857409305801396
square_root,5,view_day,29,1.4225377972484354,0.9439964955019514
square_root,5,view_day,30,1.37287661303856,1.026848019349455
square_root,5,view_day,31,1.3948901252969894,1.0614956181178676
square_root,5,view_day,32,1.3954432389611455,1.0635051892255163
square_root,5,view_day,33,1.4147590652428488,1.0348880573082029
square_root,5,view_day,34,1.4113185907926755,0.9861800036236548
square_root,5,view_day,35,1.4132965562211923,0.9915964547681744
square_root,5,view_day,36,1.405271406320063,1.0599370152049965
square_root,5,view_day,37,1.3327234738942777,0.9733474469926842
square_root,5,view_day,38,1.387056624512654,0.99005581828022
square_root,5,view_day,39,1.4363146741987922,0.9927846712650548
square_root,5,view_day,40,1.3845881499873378,1.0154512840714818
square_root,5,view_day,41,1.391275086507912,0.979846758822568
square_root,5,view_day,42,1.424083292327793,1.0005898685511403
square_root,5,view_day,43,1.3907614643619055,1.0063455956201055
square_root,5,view_day,44,1.459346458594736,0.976895824955125
square_root,5,view_day,45,1.3845623575202293,1.0391230686458628
square_root,5,view_day,46,1.401262152428911,1.01034588990235
square_root,5,view_day,47,1.377177347787485,1.0604918686239675
square_root,5,view_day,48,1.391288350989658,1.0468092335048629
square_root,5,view_day,49,1.3986712041500164,0.9894426599818515
square_root,5,view_day,50,1.2889582301189744,0.9862403095028526
max,10,view_day,1,1.3928500937608446,1.107903962948007
max,10,view_day,2,1.351186976500751,1.075126582119951
max,10,view_day,3,1.3003204722552169,0.9809316437191152
max,10,view_day,4,1.2650912520641056,0.9909499627423214
max,10,view_day,5,1.3592656403483387,1.1165324540142405
max,10,view_day,6,1.5002355194864438,1.0728282189982792
max,10,view_day,7,1.5830594115664407,1.067640945153821
max,10,view_day,8,1.4581411177329495,1.1158522598722351
max,10,view_day,9,1.4683836648029156,1.1218282123546497
max,10,view_day,10,1.4434437996100211,1.0656894943421809
max,10,view_day,11,1.382574110344078,1.0837157666551476
max,10,view_day,12,1.518800549284804,1.0121397675190127
max,10,view_day,13,1.4428794765869186,0.949136976201639
max,10,view_day,14,1.3929626744716734,1.0450507982344297
max,10,view_day,15,1.4251301202875684,1.0878089834892972
max,10,view_day,16,1.5230272958978666,0.9604384746637292
max,10,view_day,17,1.460027990778691,1.213949298630902
max,10,view_day,18,1.2750162318891518,1.0067543812987856
max,10,view_day,19,1.548672399686505,1.0375032053877926
max,10,view_day,20,1.3925431702780522,1.0730441287601369
max,10,view_day,21,1.465268371987338,0.9627991580135428
max,10,view_day,22,1.477850555512353,1.1333160480144078
max,10,view_day,23,1.3300744481506628,0.94758380676109
max,10,view_day,24,1.38837668313871,0.9753049086514208
max,10,view_day,25,1.490840023210127,1.0634497390979964
max,10,view_day,26,1.464750862521832,1.0409344967703378
max,10,view_day,27,1.5242656329179125,0.9850545236197992
max,10,view_day,28,1.3754781091219193,1.0640612735543455
max,10,view_day,29,1.4653862182034585,1.0217885313953852
max,10,view_day,30,1.420925978397182,1.1392686003359265
max,10,view_day,31,1.388296397526307,1.0045740172149926
max,10,view_day,32,1.4775980846736951,1.0324016479439933
max,10,view_day,33,1.5060847201445944,1.1042294508515795
max,10,view_day,34,1.4037274666018154,1.0998997619668869
max,10,view_day,35,1.3176823949194083,0.9938423463646784
max,10,view_day,36,1.3160651758029476,1.0230963839775349
max,10,view_day,37,1.4567806365021123,1.0953320650791245
max,10,view_day,38,1.5683816100335033,1.0437582929461109
max,10,view_day,39,1.3679915378663514,0.9570197325793112
max,10,view_day,40,1.392101621339498,1.1504128482072618
max,10,view_day,41,1.3902874153389493,1.0830495467068757
max,10,view_day,42,1.326406198121094,1.2506747559072704
max,10,view_day,43,1.3303699386089556,1.1178950628467224
max,10,view_day,44,1.378431957840868,1.0297936368191112
max,10,view_day,45,1.423422869103064,0.9405119479823456
max,10,view_day,46,1.3916418829715569,0.9697953161960298
max,10,view_day,47,1.4509116785356089,0.9862205384839354
max,10,view_day,48,1.4634371045858825,1.197575808779113
max,10,view_day,49,1.4937086416064294,1.1903592926564086
max,10,view_day,50,1.5459778491460066,1.008435780511933
CES-2,10,view_day,1,1.316204002995072,1.1076321753597704
CES-2,10,view_day,2,1.2855506696703298,1.060057305194681
CES-2,10,view_day,3,1.255022893331187,0.989538524567364
CES-2,10,view_day,4,1.2261447796629654,0.9958585314129412
CES-2,10,view_day,5,1.2881442191177592,1.114970312757656
CES-2,10,view_day,6,1.381739538551184,1.05093026368344
CES-2,10,view_day,7,1.4354325202226692,1.042793253682463
CES-2,10,view_day,8,1.3398666087095683,1.0899296288343006
CES-2,10,view_day,9,1.3895724053140397,1.106080678158948
CES-2,10,view_day,10,1.3313999280359043,1.05886883458354
CES-2,10,view_day,11,1.3092558954580902,1.0609817074913463
CES-2,10,view_day,12,1.397735681198874,0.976842078201916
CES-2,10,view_day,13,1.3474761053362792,0.965635003296932
CES-2,10,view_day,14,1.3201740048555164,1.0348859706395612
CES-2,10,view_day,15,1.339435295066468,1.078711881153497
CES-2,10,view_day,16,1.390378277020326,0.9619860320595968
CES-2,10,view_day,17,1.358715785246072,1.1868276833163194
CES-2,10,view_day,18,1.235611268869388,1.0271862764188229
CES-2,10,view_day,19,1.4202548468575271,1.033293695454677
CES-2,10,view_day,20,1.34266941200242,1.078683039453061
CES-2,10,view_day,21,1.3613944209895126,0.966799337393204
CES-2,10,view_day,22,1.3666667532710628,1.1005102428083977
CES-2,10,view_day,23,1.2721846659166214,0.9711064839151676
CES-2,10,view_day,24,1.3083170533071982,0.9705296003113428
CES-2,10,view_day,25,1.3786999349458766,1.064716583511219
CES-2,10,view_day,26,1.3642671757475835,1.0377612816717765
CES-2,10,view_day,27,1.4020761413095448,0.997366153095272
CES-2,10,view_day,28,1.3236240072646892,1.059515499365341
CES-2,10,view_day,29,1.3668106217409457,1.0153659684742864
CES-2,10,view_day,30,1.332321762251474,1.118868940111384
CES-2,10,view_day,31,1.318652008477747,1.0162979374874117
CES-2,10,view_day,32,1.370526372201611,1.0208528890964683
